method,client_id,target_epsilon,final_epsilon,remaining_epsilon,spent_events,budget_exhausted_events
apdp_rtfl,client_0,5.0,2.8607639995765606,2.1392360004234394,18,0
apdp_rtfl,client_1,5.0,2.66017773684405,2.33982226315595,16,0
apdp_rtfl,client_10,5.0,2.658581933876088,2.341418066123912,16,0
apdp_rtfl,client_11,5.0,2.782261934187972,2.217738065812028,17,0
apdp_rtfl,client_12,5.0,2.5504666788527226,2.4495333211472774,15,0
apdp_rtfl,client_13,5.0,2.6587637398764477,2.3412362601235523,16,0
apdp_rtfl,client_14,5.0,2.4109579244261132,2.5890420755738868,13,0
apdp_rtfl,client_15,5.0,2.5115443182495545,2.4884556817504455,14,0
apdp_rtfl,client_16,5.0,2.411864094209128,2.588135905790872,13,0
apdp_rtfl,client_17,5.0,2.3442826199161217,2.6557173800838783,13,0
apdp_rtfl,client_18,5.0,2.8125383126114696,2.1874616873885304,17,0
apdp_rtfl,client_19,5.0,2.6585318963310813,2.3414681036689187,16,0
apdp_rtfl,client_2,5.0,2.599989925684626,2.400010074315374,15,0
apdp_rtfl,client_3,5.0,2.6544082514985625,2.3455917485014375,16,0
apdp_rtfl,client_4,5.0,2.6581266205492047,2.3418733794507953,16,0
apdp_rtfl,client_5,5.0,2.66014451960329,2.33985548039671,16,0
apdp_rtfl,client_6,5.0,2.631332258461267,2.368667741538733,15,0
apdp_rtfl,client_7,5.0,2.6332612686122743,2.3667387313877257,15,0
apdp_rtfl,client_8,5.0,2.377043031862536,2.622956968137464,13,0
apdp_rtfl,client_9,5.0,2.5520269354824245,2.4479730645175755,15,0
