client_id,data_quality_entropy,final_epsilon,train_samples
client_0,0.8299825736861035,0.1,3486
client_1,0.828924116923971,0.5307501151784338,5532
client_2,0.8222606216727135,0.1,3275
client_3,0.8580680853902128,0.1,3394
client_4,0.8022239197719642,0.1,4300
client_5,0.8238020363254781,0.5338616995862762,5108
client_6,0.8516214160641945,0.1,4595
client_7,0.8981623105644304,0.5873155210083844,6211
client_8,0.7821608983557872,0.1,3031
client_9,0.8234300800568645,0.529895341899305,4794
client_10,0.8120894862983119,0.1,4549
client_11,0.8511250705155111,0.1,3534
client_12,0.8079758484199696,0.1,4642
client_13,0.7887760343060103,0.1,4984
client_14,0.8490455917094618,0.5481896053830211,5164
client_15,0.7768656898751948,0.1,4290
client_16,0.8231295160032102,0.5400808651816705,5657
client_17,0.8692776938009369,0.1,4500
client_18,0.8617042881760636,0.1,4432
client_19,0.857924434524294,0.5480886699446545,4755
